ID,letter,phrase,type,meaning
124,A,ariscoica,pop.,"Persona recelosa, que elude el trato con otras, retraida (TC.), áspera (TC), intratable (TC), que huye de la gente (TC.)."
125,A,¡alala!,pop.,Expresión de sorpresa.
126,A,adio,pop.,Adios.
127,A,amasijar,lunf.,"Castigar (LCV) herir, matar a golpes ganar ampliamente dar una tarea, labor, trabajo o responsabilidad muy pesada."
128,A,arlequín,pop.,"Persona informal, ridícula y despreciable."
129,A,¡amalaya!,pop.,Interjección de Ah y mal haya.
130,A,administracion,inc.,Menstruación.
131,A,amasijarse,lunf.,Suicidarse.
132,A,arlequinada,pop.,Acción o ademán ridículo
133,A,¡ancu!,lunf.,"Voz de alarma, igual que ¡Ancún! ¡cuidado!"
134,A,adobado/da,pop.,"Borracho, ebrio."
135,A,amasijo,lunf.,"Paliza (LCV), castigo (LCV), zurra asesinato enredo, convenio entre varios tarea ímproba."
136,A,arma,del lunf.,Actividad o especialidad a la que se dedica un delincuente (pop.) pene.
137,A,¡ancun que hay cana!,lunf.,¡Cuidado que hay peligro!
138,A,adobar,pop.,Beber hasta la embriaguez.
139,A,amateur,fr.,"Aficionado, deportista no profesional."
140,A,armado,pop.,"Adinerado, enriquecido preparado en especial para algo individuo de pene grande arreglado (JFP), conformado (JFP), satisfecho (JFP), contento (JFP)."
141,A,¡ancun!,lunf.,¡Cuidado!
142,A,adobar la piñata,pop.,Preparar la comida.
143,A,ambar,pop.,"Viejo; anticuado (JAS), inservible."
144,A,armado hasta los dientes,pop.,Preparado para algo tener muchas armas consigo.
145,A,¡anda a bañarte!,pop.,Expresión que da a entender que no creemos lo que se nos dice o con la que se da por terminada una conversación.
146,A,adobarse,pop.,"Embriagarse, emborracharse."
147,A,ambiente,lunf.,"Hampa; (pop.) Medio en el que se actúa cuarto, pieza, habitación, aposento."
148,A,armamento,drog.,Drogas y elementos para el propio uso o consumo; conjunto de elementos necesarios para drogarse.
149,A,¡andasca!,lunf.,"Expresión de alarma (JFP), igual que ¡Araca!"
150,A,adoquin,pop.,"Bruto (LCV), cabeza dura (LCV), torpe (LCV), grosero, idiota, incapaz, terco, tozudo, rudo galleta dura que se da al encausado (JFP)."
151,A,ambiguo,pop.,Afeminado.
152,A,armar,drog.,Hacer un cigarrillo de marihuana (lunf.) hacer algún cuento o trampa (JAS).
153,A,¡anduma!,lunf.,¡Vamos!.
154,A,adoquin con pelos,pop.,Aumentativo de Adoquín.
155,A,ambo,jgo.,"Jugada a dos números en la quiniela (pop.) conjunto de saco y pantalón, sin chaleco, de igual tela y color."
156,A,armar barullo,pop.,Promover desorden o escándalo.
157,A,¡aqui te quiero ver escopeta!,pop.,"Expresión que da a entender ha llegado el caso de vencer una dificultad, o de salir de un lance árduo."
158,A,adorada,pop.,Mujer (YAC.).
159,A,ambula,jgo.,Levantador callejero de jugadas clandestinas (pop.) Vendedor ambulante.
160,A,armar batuque,pop.,Igual que Armar barullo.
161,A,¡araña!,pop.,"Voz de alarma (LCV), de sorpresa (LCV), de admiración (JAS)."
162,A,adorar,lunf.,"Limar o pulir una llave falsa (LCV), arte de trabajar llaves y ganzúas (JFP) dar brillo o lustre a una cosa."
163,A,ambulancia,delinc.,Camión celular.
164,A,armar bochinche,pop.,"Igual que Armar Barullo, desordenar."
165,A,¡atenti!,lunf.,Voz de alerta; expresión de advertencia; ¡cuidado!
166,A,adornado/da,pop.,"Recompensado, sobornado cornudo."
167,A,ambulante,jgo. y pop.,Igual que Ambula.
168,A,armar camorra,pop.,"Provocar, promover pendencia."
