ID,letter,phrase,type,meaning
9027,M,munyingo,pop.,"Negro, negrito, individuo de color (LCV.)."
9028,M,mangaso,lunf.,Igual que Mangazo.
9029,M,maturrango,pop.,Caballo viejo mal jinete antigua alusión a persona recién llegada al país y desconocedora de sus usos y costumbres.
9030,M,mirar contra el gobierno,pop.,Ser bizco.
9031,M,muralla china,pop.,Obstáculo insalvable opuesto al adelanto o progreso (LS.).
9032,M,mangazo,lunf.,"Pedido (LCV.), sablazo (YAC.)."
9033,M,maula,pop.,"Individuo cobarde pusilánime despreciable persona tramposa bellaca taimado, traicionero."
9034,M,mirar de quinera,pop.,Mirar de reojo o de soslayo.
9035,M,murga,Dep.,Equipo deportivo de mal rendimiento (pop.) orquesta de mala calidad comparsa de Carnaval cuyos integrantes bailan o tocan música desfilando por las calles.
9036,M,manghin/na,pop.,"Afecto a las bebidas alcohólicas, bebedor (YAC.)."
9037,M,mauser,pop.,Metaf. por Pene.
9038,M,mirar de rabeti,pop.,Igual que Mirar de quinera.
9039,M,murmurar,pop.,"Criticar, censurar."
9040,M,mango,lunf.,Antiguo billete de un peso moneda nacional (JAS.).
9041,M,max,pop.,"Hipoc. de Máximo, Maximiano y Maximiliano."
9042,M,mirar de rabo de ojo,pop.,Mirar con disimulo (LS.).
9043,M,murra,jgo.,"Juego de naipes (BRA.); juego de origen italiano que se realiza entre dos personas que al extender simultáneamente uno o más dedos de la mano, proclaman la suma total, ganando el que acierta (LS.)."
9044,M,mangón,pop.,El que se excede en el pedido.
9045,M,mayoral,pop.,Antiguo cobrador de boletos en el tranvía (LCV.); guarda de coche de tranvía y encargado de cobrar los boletos de pasaje (TG.).
9046,M,mirar de reojo,pop.,"Igual que Mirar de quinera, por encima del hombro."
9047,M,mus,pop.,Nada silencio (jgo.) Juego de naipes de envite y azar (fr. mousse) Postre de chocolate y leche muy espumoso.
9048,M,mangoneado/da,pop.,"Asunto, cosa o negocio muy trajinado."
9049,M,mayordomo,pop.,Administrador de estancia.
9050,M,mirar las margaritas desde abajo,pop.,Estar muerto.
9051,M,musa,lunf.,Apoc. de Musarela (segunda acepción).
9052,M,mangonear,pop.,"Dar o recibir dinero para hacer o dejar de hacer lo que la ley manda dar muchas vueltas a un asunto rapiñar, sacar ventaja de un negocio ajeno (FJS.)."
9053,M,mayorenga,lunf.,Regenta de prostíbulo (LCV.).
9054,M,mirar mal al gobierno,pop.,Ser bizco.
9055,M,musarana,pop.,Enojo nubecilla transitoria por secreción en los ojos.
9056,M,mangoneo,pop.,Acción y efecto de Mangonear.
9057,M,mayorengo,lunf.,Oficial de policía (ANON.1) autoridad judicial en general (AD.) persona que tiene mando superior (LCV.).
9058,M,mirasol,pop.,Girasol.
9059,M,musarela,ital. Muzzarella,"Queso fresco de origen italiano muy blando (lunf.) persona callada, silenciosa."
9060,M,mangos,pop.,"Afer. de Tamangos dinero, pesos."
9061,M,mayorengo a la gurda,lunf.,Comisario de policía (BBL.).
9062,M,miriñaque,pop.,Aparato de hierro que va delante de la locomotora y durante su marcha le sirve para apartar los cuerpos algo voluminosos que se interpongan en la via aparato semejante que llevan delante con el mismo objeto los tranvías y si es posible para recoger en él a las personas con que tropiecen (LS.). Este último entre nosotros era denominado salvavidas.
9063,M,muselina,arab. Mucelí,Tela muy ligera semitransparente.
9064,M,mangrullo,pop.,"Parag. por Mango atalaya de troncos de árboles con plataforma superior techada con ramas, usada en el siglo XVIII y en el XIX; mirador."
9065,M,mayorengo de crimen,lunf.,Juez del Crimen (AD.).
9066,M,mirlo blanco,pop.,Cosa u objeto raro o extraordinario.
9067,M,musha,lunf.,"Apatía, indolencia, dejadez."
9068,M,mangruyo,pop.,Igual que Mangrullo.
9069,M,mayorengo de estaro,lunf.,Alcaide de prisión (AD.).
9070,M,mirones,pop.,Igual que Mirantes.
9071,M,mushio/a,lunf.,"Abandonado, indolente, despreocupado, apático."
9072,M,manguear,lunf.,Igual que Mangar.
9073,M,mayorengo grande,lunf.,Comisario de policía (AD.).
9074,M,mis,pop.,Gato.
9075,M,musho,lunf.,Pobre (ANON. 1).
9076,M,manguelli,pop.,Pedigüeño (LCV); igual que Manguero/ra.
9077,M,mayorengo mishio,lunf.,Oficial de policía (BBL.); oficial inspector (AD.).
9078,M,misa negra,pop.,Ceremonia del culto de Satán parodia de la misa católica (LS.).
9079,M,music hall,ingl.,Espectáculo de revistas o variedades.
9080,M,manguera,pop.,Metaf. por Pene (LCV.); miembro viril manga (BRA.)
9081,M,mayorengos que aman el tiempo,lunf.,Miembros de la antigua Comisión de Cárceles y Casas de Corrección (AD.).
9082,M,misachico,pop.,"Procesión religiosa por lugares alejados, que culmina con una misa celebrada en la iglesia a la que finalmente se llega."
9083,M,música,delinc.,"Cartera (ANON. 1), billetera (BBL.), cartera para guardar el dinero (AD.) (pop.) pamplinas, cuentos."
9084,M,manguero/ra,pop.,Sableador (ERDELV.); Individuo pedigüeño (LCV.) mendigo.
9085,M,mayorengueria,lunf.,"Despacho de los empleados superiores (LCV.) Departamento de Policía (LCV.), comisaría."
9086,M,misché,pop.,Igual que Mishé.
9087,M,música de buten,delinc.,Cartera con grandes valores.
9088,M,manguero/ra (2),delinc.,Profesional del delito (LCV.); ladrón taimado malévolo.
9089,M,mayorenguía,lunf.,Comisaría (AD.).
9090,M,mischio,pop.,Igual que Mishio.
9091,M,musical,pop.,"Tocadiscos, gramófono, victrola, fonógrafo."
9092,M,mangueta,delinc.,"Ladrón que imprime en substancias blandas, las características de las llaves de las que se apodera, restituyéndolas luego al lugar donde se hallaban igual que Manguero/ra (JAS)."
9093,M,maza,pop.,Cubo de rueda de un vehículo (TG.).
9094,M,misciadura,lunf.,Igual que Mishiadura.
9095,M,musicante,mus.,"Músico (VB.) (delinc.) Ladrón de bolsillos, carterista, punguista."
9096,M,manguete nacional,pop.,Billete de un peso moneda nacional (ERDELV.)
9097,M,mazacote,pop.,Igual que Masacote.
9098,M,miscio,lunf.,Igual que Mishio.
9099,M,músico,delinc.,"Ladrón carterista, punguista."
9100,M,manguita,pop.,Agente de Policía (por las mangas blancas que usan en servicio).
9101,M,mazagrán,pop.,Igual que Masagrán.
9102,M,mise en scene,fr. Aparato escénico.,Puesta en escena de una obra de teatro.
9103,M,musiquear,pop.,"Tocar música en elevado volumen, mientras se castiga a una persona, para que no se oigan sus gritos."
9104,M,manguyos,pop.,"Dinero, pesos."
9105,M,mazamandrapa,pop.,Miembro viril.
9106,M,mishé,pop.,Hombre que paga los favores de las mujeres (C. y P.) individuo que mantiene una amante o querida.
9107,M,musiquero,pop.,Músico.
9108,M,manía persecutoria,pop.,Obsesión de ser objeto de la mala voluntad de los demás.
9109,M,mazamorra,pop.,"Comida criolla preparada con maíz blanco partido y cocido, con o sin leche y miel o azúcar, que se sirve frío o como postre mezcolanza de cosas o ideas, confusión, lío, enredo."
9110,M,mishería,pop.,"Escasez, indigencia, miseria, falta de recursos, pobreza extrema."
9111,M,musolino,pop.,"Barrendero municipal (LCV.), peón municipal de limpieza de las calles de la ciudad."
9112,M,manicero,pop.,"Persona que recoge las sobras de otra (LCV.) pedigüeño (LCV.); limosnero, mendigo vendedor ambulante de maní que pregona por las calles (FJS); igual que manisero."
9113,M,mazamorrear,pop.,Comer mazamorra.
9114,M,mishetón,pop.,Despec. de Mishé.
9115,M,mutatis mutandi,lat.,Cambiando lo que se debe cambiar.
9116,M,manicomio,pop.,Cualquier lugar donde se reúnen personas en medio de gritos o desorden.
9117,M,mazo,ital. Mazzo,Juego completo de naipes o barajas.
9118,M,mishiadura,lunf.,"Pobreza (LCV.), indigencia, miseria."
9119,M,mutis,lat.,Acción de salir de escena un actor en el teatro callarse irse de un lugar voz usada para imponer silencio.
9120,M,manife,pop.,"Vesr. irreg. de Fémina (LCV.); Mujer que ejerce la prostitución para mantener a su amante querida (LCV.); amante, hembra (LCV.)."
9121,M,mazorca,pop.,"Antigua organización política al servicio del gobernador Juan Manuel de Rosas, represiva de opositores a su gobierno o política espiga de maíz ya maduro (LS.)."
9122,M,mishíguene/na,yidd. Meshuge.,"Judío, hebreo, israelita igual que colibrillo/lla, loco."
9123,M,muú,mat. inf.,Vaca.
9124,M,manija,pop.,"Autoridad, ascendiente, influencia, mando en las boleadoras de tres bolas, la más chica que es la que se utiliza para revolear y arrojar el conjunto (futb.) Jugador hábil y con condiciones de conductor de sus compañeros (drog.) Incitación a drogarse."
9125,M,mazorquero,pop.,Integrante de la Mazorca partidario de Rosas (TG.).
9126,M,mishio/a,lunf.,"Pobrete (LCV.), individuo pobre (LCV.), escaso o falto de dinero."
9127,M,muy de la banana,pop.,"Expresión de admiración (JAS.) excelente, muy satisfactorio."
9128,M,manija astral,drog.,Igual que Manija cósmica.
9129,M,mazurca,pop.,Baile y música de origen polaco que tuvo auge en nuestro país en la segunda mitad del siglo pasado.
9130,M,mishiote/ta,lunf.,Igual que Mishola (LCV.).
9131,M,muy de la berenjena,pop.,Muy a satisfacción (JAS.). Igual que Muy de la banana.
9132,M,manija cósmica,drog.,Cope místico o esotérico.
9133,M,me alucina,hipp.,Me gusta.
9134,M,misho de rebute,lunf.,Más pobre que las ratas; en un estado indecible de miseria (AD); muy pobre (AD).
9135,M,muy de la garganta,pop.,Ser una cosa muy agradable al paladar (FJS.); lo agradable en sentido general (FJS.).
9136,M,manijas,pop.,Bicicleta.
9137,M,me batió,lunf.,Me delató (ANON. 1).
9138,M,misho de uniforme,lunf.,Desnudo (AD).
9139,M,muy de la gargantúa,pop.,Algo comible y apetecible; lo que es exquisito (LCV.).
9140,M,manijazo,pop.,Recomendación.
9141,M,me cache en dié,pop.,Expresión de desagrado o sorpresa.
9142,M,misho/a,lunf.,"Igual que Mishiola mísero (TG.), pobre (TG.)."
9143,M,muy del ala,pop.,"Muy aceptable, muy bien."
9144,M,manijear,pop.,Avalar impulsar un asunto proteger recomendar.
9145,M,me copa,juv.,"Me colma, me atrae."
9146,M,mishote,lunf.,Pobre (JAP).
9147,M,muy del estrunje,lunf.,Igual que A la gurda.
9148,M,manijera,pop.,"En las boleadoras de tres bolas, la más pequeña; bola que sirve de manija o agarradera en las boleadoras (TG)."
9149,M,me ne frega,lunf. ital.,No me importa nada.
9150,M,misiadura,lunf.,Igual que Mishiadura.
9151,M,muzarela,ital. Muzzarella.,Igual que Musarela.
9152,M,manijero/ra,pop.,Intrigante persona que impulsa cualquier tarea (medic.) Paciente con preocupaciones excesivas.
9153,N,¡no faltaba más!,pop.,Expresión utilizada para rechazar una proposición ofensiva o absurda.
9154,N,náusea,pop.,"Asco, repugnancia a una cosa."
9155,N,no dar el pellejo,pop.,"Faltarle a una persona audacia, coraje o decisión."
9156,N,no tener atadero,pop.,No tener orden ni concierto.
9157,N,¡no te pierdas!,juv.,¡No te enojes!.
9158,N,navegante,medic.,Paciente propenso a la ensoñación; a alejarse de la realidad.
9159,N,no dar más,pop.,"Estar cansado, fatigado, exhausto."
9160,N,no tener carro,lunf.,No tener amante.
9161,N,n.n.,abog. y polic.,"Persona desconocida, no identificada, indeterminada; que no se la quiere nombrar."
9162,N,nazarenas,pop.,Espuelas de rodajas de hierro de 10 puntas grandes y separadas que usaban los gauchos de la campaña; lloronas.
9163,N,no dar pelota,pop.,"Ignorar, no hacer caso, no atender a otro."
9164,N,no tener desperdicio,pop.,Ser muy útil.
9165,N,na,ingl.,Igual que Pig Latin.
9166,N,nazismo,pop.,Apoc. de Nacionalsocialismo.
9167,N,no dar pie con bola,pop.,No saber qué hacer estar desorientado atolondrarse no acertar nada.
9168,N,no tener dónde caerse muerto,pop.,Carecer de lo indispensable para vivir.
9169,N,nabab,arab. Nawab.,"Persona sumamente rica, opulenta."
9170,N,necesaria,pop.,"Bacín, escupidera, orinal."
9171,N,no dar puntada sin hilo,pop.,No hacer cosa alguna si no es para sacar algún provecho (LS.) proceder con cautela.
9172,N,no tener dos dedos de frente,pop.,Ser muy poco inteligente.
9173,N,nabo,pop.,"Imbécil, tonto, bobo miembro viril, pene (LCV.)."
9174,N,necesario,pop.,"Retrete, excusado."
9175,N,no dar puntada sin nudo,pop.,Igual que No dar puntada sin hilo.
9176,N,no tener goyete,pop.,"Carecer de lógica, explicación o sentido una cosa."
9177,N,naca,lunf.,"Vesr. de Cana. Prisión (LCV.), detención (LCV.), cárcel, penitenciaría agente de Policía."
9178,N,neceser,fr. Necessaire,Estuche con objetos de tocador.
9179,N,no decir ni mu,pop.,No argumentar nada por no poseer razón alguna enmudecer.
9180,N,no tener ni medio,pop.,Carecer de dinero.
9181,N,nacarado,pop.,Bandoneón.
9182,N,negligé,fr. Negligée,Desaliño en el vestir bata o vestido femenino de entrecasa.
9183,N,no decir ni pío,pop.,Igual que No decir ni mu.
9184,N,no tener nombre,pop.,Ser una persona o una acción incalificable ser vituperable.
9185,N,nacer parado/da,pop.,Comenzar algo con éxito; tener suerte.
9186,N,negociado,pop.,"Negocio ilícito, ilegítimo."
9187,N,no dejar piedra por mover,pop.,"Hacer todo lo necesario o posible para conseguir un fin, sin omitir nada."
9188,N,no tener pelos en la lengua,pop.,"Decir lo que se piensa en forma directa, sin ocultación alguna ni circunloquios."
9189,N,nacho/cha,pop.,Hipoc. de Ignacio/a (LS.).
9190,N,negocio redondo,pop.,El que permite obtener las máximas ganancias y todas las ventajas.
9191,N,no dejar que la sangre llegue al río,pop.,Impedir que una cosa o situación se agrave.
9192,N,no tener prójimo,pop.,Ser duro de corazón no dolerse de las desgracias o males ajenos.
9193,N,nación,pop.,"Extranjero, italiano (LCV.) billete de un peso (LCV.), moneda nacional."
9194,N,negra,pop.,Mujer humilde mujer amada tratamiento afectuoso a una mujer (ins.) Pistola calibre 45 empavonada.
9195,N,no dejar títere con cabeza,pop.,Eliminar a los culpables o responsables de un hecho no excluir a nadie de una investigación para determinar responsabilidades expresión con la que se pondera un destrozo o desbarajuste de una cosa.
9196,N,no tener tarro,pop.,Igual a Tener mala leche.
9197,N,nacional,pop.,Elip. por Peso nacional. Billete antiguo de un peso moneda nacional; billete de papel moneda de cualquier valor de la moneda antigua.
9198,N,negrada,pop.,"Muchedumbre de negros (LS.) grupo de gente humilde, especialmente pobre dicho o cosas de negros."
9199,N,no despegar los labios,pop.,Callarse.
9200,N,no tener un pelo de tonto,pop.,Ser persona lista y avisada.
9201,N,naco,port. Anaco,Pedazo trozo de tabaco que se masticaba o con el que se hacían cigarros peso moneda nacional (YAC.).
9202,N,negrero,pop.,"Persona dura y cruel con sus subordinados explotador del trabajo ajeno, pagando reducido salario o exigiendo excesivas jornadas de labor."
9203,N,no echar pasto,pop.,"No aceptar consejos, amistad, relaciones o proposiciones de otros."
9204,N,no tener uñas para guitarrero,pop.,No poseer una persona condiciones para llevar a cabo lo que se propuso.
9205,N,nada que ver,pop.,Sin relación alguna; sin siquiera remota vinculación.
9206,N,negro,pop.,Tratamiento afectuoso dólar paralelo o clandestino parte del sueldo que no figura en planilla sobreprecio de un producto que no figura en la factura autor anónimo de un trabajo literario que firma un tercero.
9207,N,no entender una jota,pop.,Ser muy ignorante respecto de algo; no comprender nada por ignorancia.
9208,N,no tener vela en el entierro,pop.,No tener participación ni incumbencia en algo (YAC.).
9209,N,nadadora,pop.,"Mujer flaca, descarnada."
9210,N,nene/na,pop.,"Niño, niña individuo temible por sus acciones."
9211,N,no es joda,pop.,No es broma.
9212,N,no tocar pito,pop.,Igual que No tener vela en el entierro.
9213,N,nadar entre dos aguas,pop.,Tener conducta indecisa o equívoca (LS.).
9214,N,nervio,pop.,"Fuerza, vigor."
9215,N,no es oro todo lo que reluce,pop.,Alusión a que uno no debe fiarse de las apariencias.
9216,N,no tragar,pop.,Sentir antipatía por una persona o cosa.
9217,N,nadie,pop.,Persona insignificante.
9218,N,nerviosa,pop.,"Galera (LCV.); sombrero duro (LCV.), galerita, bombín, galera de copa alta."
9219,N,no es tan fiero el león como lo pintan,pop.,Expresión alusiva a que las apariencias engañan referencia a que una persona no es tan temible como se creía.
9220,N,no tragarse el carozo,pop.,Igual que A otro perro con ese hueso.
9221,N,nadies,pop.,Igual que Nadie.
9222,N,neumáticos,pop.,Pechos de mujer.
9223,N,no está el shafo,delinc.,El vigilante no mira (ANON. 1).
9224,N,no tragarse la mandarina,pop.,Igual que A otro perro con ese hueso.
9225,N,naerpi,pop.,"Vesr. de Pierna (LCV.), individuo vivo, diestro, audaz (LCV.), despabilado."
9226,N,neura,pop.,Apoc. de Neurasténico nervioso malhumorado (medic.) enfermedad depresiva de carácter nervioso.
9227,N,no estar el horno para bollos,pop.,No ser el momento propicio ni oportuno para realizar una acción o intervención.
9228,N,no tragarse la píldora,pop.,Igual que A otro perro con ese hueso.
9229,N,naesqui,pop.,Vesr. irreg. de esquina.
9230,N,neurosis,pop.,Entusiasmo o furor por una cosa (TG.) deseo vehemente de ella (TG.).
9231,N,no gastar pólvora en chimangos,pop.,No dar importancia a cosas secundarias.
9232,N,no valer ni una escupida,pop.,No valer nada No merecer consideración alguna.
9233,N,naiclú,pop.,Igual que Nigh Club.
9234,N,nevado/da,pop.,Blanco como la nieve caballo que sobre su pelaje presenta pelos blancos agrupados.
9235,N,no gotén ni fóforo,lunf.,No tengo nada (LCV.).
9236,N,no valer un carajo,pop.,Igual que No valer ni una escupida.
9237,N,naides,pop.,Igual que Nadie.
9238,N,ni bola,pop.,Ninguna atención.
9239,N,no hablar al tiro,pop.,No interrumpir.
9240,N,no valer un pito,pop.,"Ser inútil, carecer de valor e importancia, no valer nada."
9241,N,naif,fr.,"Arte moderno de carácter autodidacto, ingenuo y espontáneo."
9242,N,ni chicha ni limonada,pop.,Ni una cosa ni otra; cosa ambigua.
9243,N,no hay caso,pop.,No hay nada que hacer.
9244,N,no valer un pucho,pop.,Igual que No valer un pito.
9245,N,naifa,lunf.,"Jovencita, muchacha, mujer."
9246,N,ni diome,pop.,Ni medio (LCV.).
9247,N,no hay mal que dure cien años,pop.,Alusión a que todo tiene término a que hay que saber esperar.
9248,N,no ver más allá de sus narices,pop.,No ser muy listo.
9249,N,naife,lunf.,"Cuchillo, daga, puñal."
9250,N,ni fóforo,pop.,No tener; no poseer nada (LCV.) no comprender nada (LCV.) no ver nada (LCV.).
9251,N,no hay tiempo que no se acabe,pop.,Igual a No hay mal que dure cien años.
9252,N,nocau,pop.,Igual que Knock out. Caída de un pugilista en el ring por golpe del adversario que lo deja fuera de combate por más de 10 segundos.
9253,N,nailon,ingl. Nylon,Material sintético usado para la fabricación de telas diversas. La voz ha sido castellanizada.
9254,N,ni fu ni fa,pop.,Expresión indicativa de que algo es indiferente lo que no es bueno ni malo.
9255,N,no hay tu tia,pop.,"No hay excusa, ni perdón, ni posibilidad alguna."
9256,N,noche de perros,pop.,Noche de temporal crudo (LS.); la noche pasada en medio de angustias o grandes dolores (LS.).
9257,N,naipes junados,lunf.,Barajas marcadas para hacer trampa.
9258,N,ni la hora,pop.,Alusión a no prestar atención a no dar ayuda alguna.
9259,N,no hay vuelta que darle,pop.,Las cosas son así y no en otra forma.
9260,N,nochero,pop.,Enfermero sereno vigilante de noche cochero de plaza (G. y P.) nocturno coche de plaza que circula de noche.
9261,N,najado/da,lunf.,"Evadido, huido, fugado despedido, expulsado."
9262,N,ni medio,pop.,Nada.
9263,N,no importar un belín,pop.,No importar nada desinteresarse de algo hacer desprecio de algo.
9264,N,nocturno,mus.,Serenata de carácter sentimental.
9265,N,najamiento,lunf.,"Fuga (LCV.), evasión, huída despido, expulsión."
9266,N,ni mosqueó,pop.,Expresión alusiva a la persona que no dio respuesta a una imputación o insulto; que no reaccionó o no se inmutó.
9267,N,no importar un bledo,pop.,Igual que No importar un belín.
9268,N,noerma,pop.,Vesr. irreg. de Hermano.
9269,N,najar,lunf.,"Escapar, fugar, huir (LCV.) despedir, expulsar obligar a otro a retirarse."
9270,N,ni mus,pop.,"Callarse, no decir nada."
9271,N,no importar un pito,pop.,Igual que No importar un belín.
9272,N,noialtri,ital.,Nosotros.
9273,N,najar de corbata,lunf.,"Huir despistando a los perseguidores, o eludiéndolos."
9274,N,"ni muy muy, ni tan tan",pop.,"Término medio alusión a que no se debe ser exigente en demasía, ni exagerar las cosas."
9275,N,no ir nada en la parada,pop.,"Intervenir sin participar, ni tener interés en beneficio alguno."
9276,N,nomás,pop.,"En efecto, efectivamente, así es Vesr. irreg. de Manos."
9277,N,najarse,lunf.,"Evadirse, fugarse, escaparse marcharse."
9278,N,ni pío,pop.,No decir nada silencio absoluto.
9279,N,no jamar,lunf.,No entender (AD.).
9280,N,nomenklatura,rus.,"Clase dirigente gubernamental y del Partido Comunista en Rusia, que disfruta de prebendas. Por extensión se usa en sentido crítico para cualquier país."
9281,N,najusar,lunf.,"Igual que Najar ver, mirar, observar."
9282,N,ni suena ni truena,pop.,Alusión a que nadie se acuerda de una persona a la que se menciona circunstancialmente; a la persona que no tiene importancia ni poder alguno.
9283,N,no la ve,pop.,"No comprende, no entiende."
9284,N,non plus ultra,lat.,Expresión ponderativa A lo más que se puede llegar.
9285,N,najushamiento,lunf.,Igual que Najamiento.
9286,N,ni un sorete,pop.,Nada (AD.).
9287,N,no la voy,pop.,No estoy de acuerdo.
9288,N,nonato/ta,pop.,Cosa aún sin existencia no sucedida.
9289,N,najushar,lunf.,Igual que Najusar.
9290,N,nico,pop.,Hipoc. de Nicolás.
9291,N,no le da el balero,pop.,"Persona a la que le falta inteligencia, luces o capacidad."
9292,N,nonchalans,fr. Nonchalance.,"Dejadez, abandono personal."
9293,N,najushiar,lunf.,Huir (LCV.). Igual que Najar.
9294,N,nido,pop.,"Casa, vivienda (delinc.) guarida (ins.) lugar de ocultación de integrantes de células subversivas o terroristas."
9295,N,no le da el cuero,pop.,"No tener capacidad ni posibilidad, ni decisión para algo."
9296,N,noni,mat. inf.,Sueño.
9297,N,nal,pop.,Afer. de Nacional (TG.).Papel de un peso moneda nacional (LCV.).
9298,N,niebla palida,drog.,Acido Lisérgico L.S.25.
9299,N,no le pide nada el cuerpo,pop.,Alusión al que es muy pretensioso o exigente (LS.).
9300,N,nono,mat. inf.,Igual que Noni.
9301,N,nales,pop.,Pesos moneda nacional (YAC.).
9302,N,niente,ital.,Nada.
9303,N,no llegar la sangre al río,pop.,No producirse las consecuencias serias que se esperaban de una discusión o entredicho referencia burlona a una disputa sin consecuencias graves.
9304,N,nono/na,pop.,"Abuelo, anciano."
9305,N,nalgas,pop.,"Asentaderas, traste (VB.)."
9306,N,niente pió,ital.,Nada más.
9307,N,no llevar el apunte,pop.,Desobedecer (LCV.); no hacer caso despreciar los galanteos o lo que se manifiesta (LCV.).
9308,N,noqueador,box.,Boxeador que ha ganado muchas peleas por nocau.
9309,N,nalgudo/da,pop.,Con trasero robusto (VB.).
9310,N,nieve,drog.,Igual que Blancanieves. Cocaína pura.
9311,N,no manya ni caballo ensiyado,lunf.,No entiende (AD.).
9312,N,noquear,box.,Igual que Knockear.
9313,N,namber uan,pop.,Number one.
9314,N,nilon,ingl. Nylon,Igual que Nailón.
9315,N,no manyo ni diome,lunf.,No comprendo nada (LCV.).
9316,N,norte,pop.,"Dirección, guía propósito."
9317,N,nami,lunf.,"Vesr. de Mina. Mujer (LCV.), jovencita amante."
9318,N,ninfa,pop.,Mujer hermosa.
9319,N,no me apuren si me quieren sacar bueno,pop.,"Dicho de quien desea no lo apresuren en lo que está haciendo o diciendo, para que todo resulte bien."
9320,N,nos van a comer los piojos,pop.,Sombría predicción de un futuro económico.
9321,N,namicado,pop.,Vesr. irreg. de Caminado.
9322,N,niño bien,pop.,"joven de buena familia, que viste a la moda y de modales afectados."
9323,N,no me vengan con milongas,pop.,Considerar incierto lo que se nos ha dicho (LCV.).
9324,N,nota bene,lat.,Expresión que se consigna en un escrito para llamar la atención sobre algo.
9325,N,nana,mat. inf..,"Lesión, lastimadura, golpe enfermedad abuela voz de arrullo a los niños."
9326,N,niño envuelto,pop.,"Porción delgada de carne arrollada y rellena con picado de cebolla, ajo, huevo y perejil, hervida en una salsa y servida con ella."
9327,N,no mentar la soga en casa del ahorcado,pop.,Conveniencia en no recordar lo que molesta o desagrada a las personas que participan de una conversación.
9328,N,noticiero,period.,Periodista noticioso.
9329,N,nando/da,pop.,Hipoc. de Fernando/da.
9330,N,níquel,pop.,Moneda de poco valor (aunque sea de otro metal pero inicialmente así llamada cuando era de níquel).
9331,N,no meterse en honduras,pop.,Evitar complicaciones.
9332,N,notición,pop.,Aument. de Noticia. Noticia extraordinaria.
9333,N,nansú,fr. Nansouk.,Lienzo fino de algodón (TG.).
9334,N,niquelado/da,pop.,Vestido con esmero.
9335,N,no mosquearse,pop.,No darse por enterado no responder no reaccionar.
9336,N,noticioso,period.,Informativo de radio o televisión boletín de noticias verbales o escritas.
9337,N,napia,pop.,Nariz.
9338,N,niquelarse,pop.,Vestirse con ropa nueva (LCV.); ataviarse a la moda; trajearse.
9339,N,no pasa naranja,pop.,No ocurre nada.
9340,N,nouvelle vague,fr.,Movimiento de renovación en el arte que se inició aproximadamente en 1950.
9341,N,napión/na,pop.,Narigón.
9342,N,niqueleti,delinc.,Revólver niquelado.
9343,N,no pega ni con cola,pop.,"Alusión a cosas totalmente opuestas, irreconciliables."
9344,N,novata,pop.,Prostituta recién iniciada.
9345,N,napoleón,pop.,Persona de nacionalidad italiana (LCV.).
9346,N,nísperos,pop.,"Testículos pies, dedos de los pies callos juanetes."
9347,N,no pega ni con moco,pop.,Igual a No pega ni con cola.
9348,N,novedades,dep.,Expresión alusiva a aciertos de un jugador de bochas torpe.
9349,N,naranja,pop.,Nada.
9350,N,nitro,pp.,Apoc. de Nitroglicerina.
9351,N,no perder pisada,pop.,No perder de vista a otro; seguirle los pasos.
9352,N,noviar,pop.,Estar de novio o novia.
9353,N,naranjero,pop.,"Trabuco de boca ancha, en forma de embudo, de mediados del siglo pasado."
9354,N,nivel,pop.,Situación de igualdad entre personas o cosas.
9355,N,no poder ver ni pintado,pop.,Tener aversión.
9356,N,novoa,pop.,Nuevo/va.
9357,N,narciso,pop.,Narcisista persona que cuida excesivamente su arreglo y compostura personal enamorado de sí mismo.
9358,N,no poner la mano en el fuego,pop.,No garantizar nada por otro (LS.).
9359,N,nudo,pop.,Dificultad indisoluble.
9360,N,narcodólar,drog.,Ganancia en dólares obtenida en el tráfico ilícito de drogas.
9361,N,no aflojar,pop.,Resistir; no ceder; mantenerse firme.
9362,N,no querer guerra,pop.,No querer problemas despreocuparse de algo sentirse vencido.
9363,N,nudo en la garganta,pop.,"Imposibilidad de hablar por susto, pena, emoción o violencia."
9364,N,narcos,drog.,Narcotraficantes.
9365,N,no aguantar,pop.,No poder contenerse.
9366,N,no querer lolas,pop.,Igual que No querer guerra.
9367,N,nudo gordiano,pop.,Dificultad indisoluble.
9368,N,narcuá,fr. Narquois,"Jerga usada en Francia de carácter muy sutil, mediante la cual quienes la hablan se burlan en forma astuta de otros."
9369,N,no aguantar pulgas,pop.,No tolerar ofensas.
9370,N,no querer ver ni pintado/da,pop.,Rechazar totalmente.
9371,N,nueva ola,pop.,Modernidad juvenil en las costumbres.
9372,N,nardo,pop.,Metaf. por Pene.
9373,N,no alcanzar a ver el culo a un perro rabón,pop.,Ser muy ciego (VB.); corto de alcances o entendimiento (VB.).
9374,N,no recular ni un tranco de pollo,pop.,No rehuir un desafío no retroceder ante el adversario.
9375,N,nuevaolero/ra,pop.,Joven adepto a los bailes modernos de última moda.
9376,N,narguile,arab. Narayila.,Pipa de agua en la que se refresca el humo del tabaco que se fuma y está depositado en una cápsula unida al recipiente de agua mediante un tubo de goma.
9377,N,no alcanzar el tabaco,pop.,Faltar los recursos para el objeto o fin que uno se propone (FJS.).
9378,N,no rola,pop.,No resulta (LCV.); no sirve (REV.P.); no queda bien (REV.P.) no agrada (LCV.).
9379,N,nuevaolista,pop.,Igual que Nuevaolero/ra.
