ID,NOMBRE,NOMBRE2,LOCALIDAD,DEPARTAMENTO,JURISDICCIÓN,CUE ANEXO,DOMICILIO
2366,ESCUELA PRESIDENTE ROQUE SAENZ PEÑA,ESCUELA PRESIDENTE ROQUE SAENZ PEÑA,EL ALCALDE,RIO PRIMERO,CÓRDOBA,140183700,CALLE PUBLICA S/N   EL ALCALDE P/SANTA ROSA DE RIO I°
2367,ESCUELA PRESIDENTE ROQUE SAENZ PEÑA,ESCUELA PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,CAPITAL,CÓRDOBA,140265500,AV. VELEZ SARSFIELD 1002 GUEMES B° GUEMES
2407,ESCUELA PTE. ROQUE SAENZ PEÑA,ESCUELA PRESIDENTE ROQUE SAENZ PEÑA,LABOULAYE,PRESIDENTE ROQUE SAENZ PEÑA,CÓRDOBA,140201400,AVENIDA QUINTANA 126 BELGRANO LABOULAYE
2408,ESCUELA PTE. ROQUE SAENZ PEÑA,ESCUELA PRESIDENTE ROQUE SAENZ PEÑA,SAN MARCOS SIERRA,CRUZ DEL EJE,CÓRDOBA,140256000,LIBERTAD 1043 CENTRO SAN MARCOS SIERRA
2368,ESCUELA PRESIDENTE SARMIENTO,ESCUELA PRESIDENTE SARMIENTO,CORDOBA,CAPITAL,CÓRDOBA,140245800,ROQUE S. PEÑA 1211 COFICO
2369,ESCUELA PRESIDENTE SARMIENTO,ESCUELA PRESIDENTE SARMIENTO,VILLA CARLOS PAZ,PUNILLA,CÓRDOBA,140287200,LOS GIGANTES  M. MUÑOZ B VILLA CARLOS PAZ
2370,ESCUELA PRESIDENTE YRIGOYEN,ESCUELA PRESIDENTE YRIGOYEN,CORDOBA,CAPITAL,CÓRDOBA,140103100,AV.CASTRO BARROS 802 SAN MARTIN B° SAN MARTIN-Hospital Pediátrico
2371,ESCUELA PRESIDENTE YRIGOYEN,ESCUELA PRESIDENTE YRIGOYEN,ALTA GRACIA,SANTA MARIA,CÓRDOBA,140244900,RIVADAVIA 49 GENERAL BUSTOS ALTA GRACIA
2372,ESCUELA PRIMARIA DE APLICACION I.E.S.,ESCUELA PRIMARIA DE APLICACION IES,VILLA CARLOS PAZ,PUNILLA,CÓRDOBA,140239700,SOLIS 283 VILLA DOMINGUEZ VILLA CARLOS PAZ
2373,ESCUELA PRIMER GOBIERNO PATRIO,ESCUELA PRIMER GOBIERNO PATRIO,RIO SEGUNDO,RIO SEGUNDO,CÓRDOBA,140020400,RIVADAVIA 915 CENTRO RIO SEGUNDO
2374,ESCUELA PRIMER TENIENTE AVILA,ESCUELA PRIMER TENIENTE AVILA,CORDOBA,CAPITAL,CÓRDOBA,140137000,QUINCHAN 1070 PARQUE REPUBLICA
2375,ESCUELA PRIMER TENIENTE MORANDINI,ESCUELA PRIMER TENIENTE MORANDINI,JESUS MARIA,COLON,CÓRDOBA,140344100,CHILE 222 SAN JOSE OBRERO JESUS MARIA
2376,ESCUELA PRIMERA JUNTA,ESCUELA PRIMERA JUNTA,SAN FRANCISCO,SAN JUSTO,CÓRDOBA,140092600,ENTRE RIOS 2505 GENERAL ROCA SAN FRANCISCO
2377,ESCUELA PRIMERA JUNTA,ESCUELA PRIMERA JUNTA,ENCRUCIJADAS,RIO SECO,CÓRDOBA,140124200,CALLE PUBLICA S/N    ENCRUCIJADA
2378,ESCUELA PRIMERA JUNTA,ESCUELA PRIMERA JUNTA,CORDOBA,CAPITAL,CÓRDOBA,140129300,CLAUDIO DE ARREDONDO 4446 VILLA CENTENARIO B° VILLA CENTENARIO(Altura Av. Rafael NuÑEZ 4400/4500)
2379,ESCUELA PRIMERA JUNTA,ESCUELA PRIMERA JUNTA,COLONIA SAN BARTOLOME,SAN JUSTO,CÓRDOBA,140149700,9 DE JULIO 576  COLONIA SAN BARTOLOME
2380,ESCUELA PRIMERA JUNTA,ESCUELA PRIMERA JUNTA,VILLA RUMIPAL,CALAMUCHITA,CÓRDOBA,140246200,AMADEO SABATTINI 143 CENTRO VILLA RUMIPAL
2381,ESCUELA PRIMERA JUNTA,ESCUELA PRIMERA JUNTA,CAÑADA LARGA,SAN ALBERTO,CÓRDOBA,140258200,CALLE PUBLICA   CA?DA LARGA
2382,ESCUELA PRIMERO DE MAYO,ESCUELA PRIMERO DE MAYO,VILLA MARIA,GENERAL SAN MARTIN,CÓRDOBA,140392500,THOMAS EDISON 275 CENTRO VILLA MARIA
2383,ESCUELA PROA - LA CALERA,ESCUELA PROA - LA CALERA,LA CALERA,COLON,CÓRDOBA,140563200,CALLE PUBLICA S/N°  EL CERRITO LA CALERA 
2314,ESCUELA NOGAL HISTORICO,ESCUELA PROA UNQUILLO,SALDAN,COLON,CÓRDOBA,140224500,JOSE ACCASTELLI 252 CENTRO SALDAN
2384,ESCUELA PROF. ATILIO ARGUELLO,ESCUELA PROFESOR ATILIO ARGUELLO,CORDOBA,CAPITAL,CÓRDOBA,140308500,LLANQUELEN 5100 PARQUE REPUBLICA B° PARQUE REPUBLICA
2385,ESCUELA PROFESOR JOSE TORIBIO HERNANDEZ,ESCUELA PROFESOR JOSE TORIBIO HERNANDEZ,CORDOBA,CAPITAL,CÓRDOBA,140002800,COCHABAMBA 3200 PUEYRREDON BARRIO PUEYRREDON
2386,ESCUELA PROFESOR MIGUEL LUCIANI,ESCUELA PROFESOR MIGUEL LUCIANI,CORDOBA,CAPITAL,CÓRDOBA,140407200,AV. 11 DE SETIEMBRE 4451 RAMON J. CARCANO
2387,ESCUELA PROFESOR OSCAR RAUL MALVASIO,ESCUELA PROFESOR OSCAR RAUL MALVASIO,CORDOBA,CAPITAL,CÓRDOBA,140504300,CALLE PUBLICA S/N  CIUDAD OBISPO ANGELELLI B° CIUDAD OBISPO ANGELELLI - CNO. A SAN ANTONIO KM 8
2388,ESCUELA PROVINCIA DE BUENOS AIRES,ESCUELA PROVINCIA DE BUENOS AIRES,QUILINO,ISCHILIN,CÓRDOBA,140282200,MARIANO MORENO 220  QUILINO
2389,ESCUELA PROVINCIA DE CATAMARCA,ESCUELA PROVINCIA DE CATAMARCA,CORDOBA,CAPITAL,CÓRDOBA,140331600,AV. VELEZ SARSFIELD 3582 LAS FLORES B° LAS FLORES
2390,ESCUELA PROVINCIA DE CORDOBA,ESCUELA PROVINCIA DE CORDOBA,CORDOBA,CAPITAL,CÓRDOBA,140045100,LA PAMPA 550 PASO DE LOS ANDES B° PASO DE LOS ANDES
2391,ESCUELA PROVINCIA DE CORRIENTES,ESCUELA PROVINCIA DE CORRIENTES,CORDOBA,CAPITAL,CÓRDOBA,140082200,DOMINGO ZIPOLI 1358 ESCOBAR
2392,ESCUELA PROVINCIA DE ENTRE RIOS,ESCUELA PROVINCIA DE ENTRE RIOS,CORDOBA,CAPITAL,CÓRDOBA,140272000,TRAFALGAR 875 ALTA CORDOBA B° ALTA CORDOBA
2393,ESCUELA PROVINCIA DE FORMOSA,ESCUELA PROVINCIA DE FORMOSA,CORDOBA,CAPITAL,CÓRDOBA,140246000,RODRIGUEZ PEÑA 1548 ALTA CORDOBA B° ALTA CORDOBA
